Statistics computed over 10 Raw runs.

             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
----- ------ ------ ------  ------ ------ ------  ------- ------ ------  ------- ------ ------
106_1  1.0000 0.3547 0.0000  0.8651 0.3913 0.0535  0.7371 0.4852 0.1530   0.4322 0.1949 0.0561
106_2  0.5307 0.0000 0.0000  0.4820 0.0365 0.0000  0.5301 0.1741 0.0776   0.2114 0.0489 0.0078
106_3  0.1913 0.0000 0.0000  0.2076 0.0000 0.0000  0.2023 0.0483 0.0000   0.2309 0.0031 0.0000
106_4  0.7654 0.4693 0.0000  0.6627 0.4048 0.0000  0.7553 0.6255 0.1726   0.4860 0.2871 0.0315
106_5  0.6480 0.3520 0.1480  0.5811 0.3301 0.1070  0.6525 0.5668 0.2486   0.4087 0.2602 0.0631
106_6  0.8240 0.5433 0.0000  0.6374 0.4202 0.0000  0.8433 0.5282 0.0000   0.6446 0.2790 0.0000
106_7  0.8827 0.8520 0.2961  0.7691 0.7438 0.2140  0.8305 0.7811 0.2000   0.5726 0.5329 0.0595
106_8  0.2029 0.0000 0.0000  0.1524 0.0000 0.0000  0.2901 0.1633 0.0000   0.1250 0.0282 0.0000
106_10 0.3605 0.0000 0.0000  0.3131 0.0411 0.0000  0.6372 0.1241 0.0000   0.5087 0.0793 0.0000
107_1  0.7779 0.7039 0.2961  0.8395 0.7860 0.3929  0.8402 0.6385 0.3186   0.5622 0.4003 0.1581
107_2  1.0000 1.0000 0.5307  1.0000 1.0000 0.6608  0.8893 0.8184 0.3695   0.7104 0.5148 0.2127
107_3  0.4852 0.0786 0.0000  0.5235 0.0847 0.0411  0.3953 0.1553 0.0609   0.2636 0.0576 0.0175
107_4  0.7500 0.0587 0.0000  0.6479 0.0424 0.0000  0.6125 0.2415 0.0190   0.4791 0.0999 0.0002
107_5  0.8929 0.6162 0.1697  0.9162 0.7567 0.1676  0.8809 0.5476 0.1517   0.7622 0.3345 0.0364
107_6  0.9218 0.6667 0.4115  0.7933 0.6514 0.4586  0.8195 0.6575 0.3671   0.6456 0.4639 0.1679
107_7  0.8520 0.6173 0.1173  0.7544 0.6888 0.1504  0.8143 0.5482 0.2993   0.5690 0.3422 0.0993
107_8  1.0000 1.0000 1.0000  1.0000 1.0000 0.7227  0.9145 0.6934 0.4166   0.6750 0.4725 0.1878
108_1  0.8824 0.7971 0.0000  0.8609 0.7209 0.0875  0.8410 0.5446 0.1833   0.6483 0.3448 0.0573
108_2  0.5535 0.3394 0.0000  0.6505 0.3766 0.0000  0.6135 0.2584 0.0000   0.4225 0.0953 0.0000
108_3  0.5765 0.1707 0.0000  0.5990 0.2157 0.0000  0.2862 0.0845 0.0000   0.1560 0.0312 0.0000
108_4  0.9501 0.3382 0.0853  0.8795 0.2906 0.1016  0.5946 0.1494 0.0743   0.2803 0.0475 0.0160
108_5  0.5588 0.4412 0.0000  0.5464 0.5234 0.0000  0.7422 0.6148 0.0116   0.5010 0.4018 0.0025
108_6  0.7346 0.3520 0.0000  0.6926 0.4820 0.0000  0.7073 0.4142 0.0096   0.4418 0.1548 0.0002
108_7  0.4687 0.1071 0.0000  0.4755 0.1328 0.0000  0.5305 0.0995 0.0000   0.3420 0.0192 0.0000
108_8  1.0000 0.8520 0.0000  1.0000 0.7883 0.0000  0.8341 0.3340 0.0599   0.6136 0.1471 0.0033
110_1  1.0000 0.8520 0.2346  0.8942 0.7648 0.2389  0.8565 0.6363 0.4534   0.5519 0.3576 0.2881
110_2  0.7500 0.5866 0.2346  0.7061 0.5641 0.3082  0.8016 0.5614 0.2125   0.5812 0.3369 0.0940
110_3  0.4413 0.3827 0.0740  0.4867 0.2968 0.1191  0.6590 0.3177 0.2503   0.5557 0.2533 0.0675
