Statistics computed over 10 Raw runs.

             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
110_4  0.8673 0.2654 0.0000  0.8602 0.3230 0.0000  0.8688 0.4278 0.1025   0.5724 0.1872 0.0259
110_5  1.0000 0.0000 0.0000  0.8323 0.0000 0.0000  0.8936 0.2092 0.0000   0.6160 0.0861 0.0000
110_6  0.9324 0.3414 0.0000  0.8064 0.2795 0.0000  0.8648 0.3316 0.0518   0.5986 0.0927 0.0019
110_7  0.1173 0.0000 0.0000  0.0911 0.0000 0.0000  0.3551 0.0647 0.0000   0.0912 0.0211 0.0000
110_8  0.6913 0.0000 0.0000  0.6014 0.0392 0.0000  0.6729 0.1396 0.0000   0.3784 0.0347 0.0000
110_9  0.5102 0.0000 0.0000  0.3856 0.0915 0.0000  0.4667 0.1895 0.1007   0.2420 0.0600 0.0100
111_1  0.8647 0.7971 0.0000  0.8984 0.8039 0.0000  0.7340 0.5066 0.0000   0.4382 0.2611 0.0000
111_2  0.0000 0.0000 0.0000  0.0000 0.0000 0.0000  0.1060 0.0294 0.0000   0.0240 0.0012 0.0000
111_3  0.3827 0.2654 0.0000  0.3972 0.2227 0.0000  0.5644 0.1844 0.0423   0.2963 0.0897 0.0057
111_4  0.5000 0.1173 0.0000  0.5538 0.0848 0.0000  0.4014 0.2054 0.0499   0.2667 0.0233 0.0104
111_5  0.8403 0.4202 0.0000  0.7153 0.3332 0.0000  0.6645 0.3572 0.1380   0.3214 0.1759 0.0214
111_6  0.9299 0.5701 0.0000  0.8260 0.4350 0.0000  0.8313 0.3159 0.0000   0.6568 0.1667 0.0000
111_7  0.0000 0.0000 0.0000  0.0000 0.0000 0.0000  0.2281 0.0000 0.0000   0.0493 0.0000 0.0000
111_8  1.0000 0.8827 0.4693  1.0000 0.7648 0.4852  0.8849 0.6265 0.3721   0.7473 0.4371 0.1125
111_9  0.9013 0.7654 0.4320  0.8362 0.7867 0.4931  0.7020 0.5465 0.2971   0.3939 0.2906 0.0753
112_1  0.7654 0.4260 0.0587  0.8304 0.4793 0.0424  0.8432 0.5841 0.0174   0.7060 0.4783 0.0071
112_2  0.7346 0.5587 0.0000  0.7659 0.5123 0.0000  0.8964 0.4885 0.2454   0.8961 0.3283 0.0363
112_3  0.7232 0.5535 0.0000  0.7833 0.5419 0.0000  0.7962 0.5812 0.1559   0.6120 0.3943 0.1267
112_4  0.7067 0.3547 0.0000  0.6398 0.4756 0.0328  0.7751 0.4556 0.3684   0.5882 0.3400 0.2112
112_5  0.6618 0.4412 0.1353  0.6079 0.4188 0.2068  0.7078 0.5210 0.1937   0.4442 0.2748 0.1033
112_6  0.7500 0.5433 0.0740  0.7314 0.5242 0.0575  0.7838 0.5520 0.1234   0.6097 0.3949 0.0569
112_7  0.2500 0.0000 0.0000  0.1868 0.0000 0.0000  0.0997 0.0506 0.0000   0.1200 0.0073 0.0000
112_9  0.0000 0.0000 0.0000  0.0000 0.0000 0.0000  0.1580 0.0000 0.0000   0.0403 0.0000 0.0000
113_1  0.6020 0.5433 0.2500  0.5604 0.4716 0.3156  0.6049 0.3887 0.1850   0.4124 0.2756 0.0828
113_2  0.5307 0.1480 0.0000  0.4443 0.2821 0.0000  0.6126 0.4117 0.1879   0.3264 0.1720 0.0772
113_3  0.6453 0.3520 0.0000  0.4663 0.2766 0.0000  0.6273 0.3241 0.0000   0.2617 0.0892 0.0000
113_4  0.4693 0.0000 0.0000  0.3392 0.0000 0.0000  0.3165 0.0518 0.0000   0.0946 0.0038 0.0000
113_5  0.2346 0.0000 0.0000  0.1696 0.0000 0.0000  0.1908 0.0571 0.0000   0.0649 0.0062 0.0000
113_6  1.0000 0.2961 0.0000  0.8153 0.2140 0.0000  0.6835 0.1782 0.0000   0.3424 0.0517 0.0000
113_7  0.3547 0.0000 0.0000  0.3876 0.0000 0.0000  0.2618 0.0446 0.0000   0.0848 0.0267 0.0000
113_8  0.4134 0.0000 0.0000  0.2988 0.0000 0.0000  0.4082 0.0521 0.0000   0.1497 0.0180 0.0000
115_1  0.7346 0.4260 0.0000  0.6802 0.3763 0.0000  0.7850 0.4517 0.0000   0.5498 0.2451 0.0000
115_2  0.8323 0.0000 0.0000  0.8622 0.0845 0.0000  0.6061 0.4870 0.0000   0.4353 0.1937 0.0000
115_3  0.6480 0.0000 0.0000  0.6285 0.0000 0.0000  0.7367 0.0939 0.0000   0.6001 0.0060 0.0000
115_4  0.3801 0.0000 0.0000  0.3290 0.0000 0.0000  0.5045 0.0000 0.0000   0.1570 0.0000 0.0000
115_5  0.5249 0.3100 0.0000  0.4629 0.2989 0.0000  0.6303 0.2089 0.0103   0.2941 0.1445 0.0003
115_6  0.6480 0.0000 0.0000  0.6285 0.0762 0.0000  0.6401 0.1400 0.0000   0.5207 0.0195 0.0000
115_7  0.4693 0.3520 0.0000  0.4852 0.2544 0.0000  0.3558 0.2055 0.0000   0.1415 0.0869 0.0000
115_8  0.5950 0.2851 0.0000  0.5535 0.2175 0.0000  0.5729 0.3324 0.0000   0.3216 0.1805 0.0000
115_9  0.8148 0.7617 0.0000  0.8435 0.6672 0.0000  0.7697 0.2906 0.0000   0.3577 0.0632 0.0000
115_10 0.1597 0.0000 0.0000  0.1332 0.0000 0.0000  0.2164 0.0488 0.0000   0.1319 0.0064 0.0000
115_11 0.7796 0.0000 0.0000  0.7192 0.0000 0.0000  0.7890 0.0567 0.0000   0.3214 0.0312 0.0000
116_1  0.6667 0.6667 0.3129  0.7827 0.6382 0.3028  0.8556 0.6262 0.3666   0.8049 0.5545 0.1896
116_2  1.0000 0.0000 0.0000  0.8845 0.0000 0.0000  0.8700 0.2211 0.0000   0.4101 0.0215 0.0000
116_3  0.7398 0.2851 0.0000  0.6403 0.2467 0.0000  0.6542 0.1624 0.0000   0.2984 0.0208 0.0000
116_4  0.5307 0.4693 0.0000  0.5296 0.3392 0.0000  0.5567 0.3418 0.0000   0.2885 0.1303 0.0000
116_5  0.2015 0.0000 0.0000  0.2015 0.0000 0.0000  0.3689 0.2627 0.0000   0.2074 0.0886 0.0000
116_6  1.0000 0.5307 0.0000  0.8688 0.6608 0.1461  0.8953 0.7266 0.4902   0.7677 0.5714 0.2084
116_7  0.4693 0.1173 0.0000  0.3422 0.1578 0.0000  0.4857 0.3220 0.1530   0.2840 0.1105 0.0702
116_8  0.7449 0.3333 0.0000  0.6308 0.3771 0.1200  0.5838 0.3717 0.1641   0.3071 0.2068 0.1194
117_1  1.0000 0.2141 0.0000  1.0000 0.2704 0.0000  0.9459 0.3157 0.0000   0.7915 0.1337 0.0000
117_2  0.8403 0.0000 0.0000  0.7754 0.1598 0.0000  0.7112 0.3302 0.0000   0.4583 0.0833 0.0000
117_3  0.7654 0.1480 0.0000  0.6701 0.1145 0.0000  0.5001 0.2709 0.0000   0.2500 0.0909 0.0000
117_4  0.6606 0.0000 0.0000  0.5451 0.0000 0.0000  0.7192 0.0839 0.0000   0.3284 0.0057 0.0000
117_5  0.5758 0.3616 0.0000  0.6831 0.4692 0.0000  0.7593 0.5053 0.0000   0.7936 0.5000 0.0000
117_6  0.4335 0.0000 0.0000  0.5251 0.0000 0.0000  0.7227 0.0000 0.0000   0.6909 0.0000 0.0000
117_8  0.7350 0.6300 0.0000  0.6273 0.5377 0.0000  0.6383 0.5377 0.0000   0.3333 0.2000 0.0000
117_9  0.3179 0.1949 0.0000  0.5418 0.2405 0.0000  0.5247 0.1605 0.0000   0.2264 0.0800 0.0000
117_10 0.3354 0.0000 0.0000  0.2756 0.0000 0.0000  0.2225 0.1381 0.0000   0.0357 0.0216 0.0000
118_1  0.8231 0.6089 0.0000  0.7817 0.4838 0.0437  0.6593 0.3553 0.0334   0.3423 0.1854 0.0156
118_2  1.0000 0.7654 0.0000  0.9076 0.8156 0.0000  0.8966 0.5610 0.1185   0.6683 0.4038 0.0195
118_3  0.7346 0.5000 0.0000  0.7163 0.4754 0.0000  0.8236 0.5691 0.0000   0.6330 0.3716 0.0000
118_4  0.8827 0.1173 0.0000  0.7648 0.0848 0.0000  0.8126 0.1955 0.0000   0.5331 0.0335 0.0000
118_5  0.2346 0.0000 0.0000  0.3008 0.0000 0.0000  0.3905 0.1384 0.0000   0.1395 0.0600 0.0000
118_6  0.1564 0.0000 0.0000  0.1617 0.0000 0.0000  0.1946 0.0112 0.0000   0.0727 0.0032 0.0000
118_7  1.0000 1.0000 0.7654  1.0000 0.8688 0.5531  0.8031 0.2872 0.1236   0.5060 0.1035 0.0337
118_8  1.0000 0.5475 0.0000  0.9563 0.4818 0.0000  0.8794 0.2732 0.0000   0.5839 0.1376 0.0000
119_1  0.6480 0.2346 0.0000  0.5414 0.2426 0.0000  0.7497 0.3733 0.0341   0.5687 0.2183 0.0015
119_2  0.9013 0.0000 0.0000  0.7001 0.0000 0.0000  0.5786 0.1059 0.0400   0.4358 0.0164 0.0003
119_3  0.7449 0.4320 0.0000  0.6745 0.4951 0.0000  0.5690 0.3489 0.0000   0.4743 0.1495 0.0000
119_4  0.5015 0.1246 0.0000  0.5771 0.1366 0.0000  0.7060 0.2959 0.0402   0.6118 0.0896 0.0088
119_5  0.0000 0.0000 0.0000  0.0000 0.0000 0.0000  0.2511 0.0251 0.0000   0.0524 0.0026 0.0000
119_6  0.6441 0.4058 0.0000  0.7581 0.4240 0.0000  0.7947 0.5154 0.0000   0.6187 0.4362 0.0000
119_7  0.5089 0.2882 0.0000  0.5297 0.3573 0.0000  0.7585 0.3232 0.0000   0.6602 0.2501 0.0000
119_8  0.8100 0.6199 0.0000  0.8550 0.6720 0.0000  0.8729 0.3934 0.0000   0.7411 0.2482 0.0000
121_1  0.6994 0.4683 0.0000  0.5745 0.4367 0.0000  0.7497 0.2143 0.0000   0.3921 0.0435 0.0000
121_2  0.5475 0.2756 0.0000  0.6933 0.2195 0.0000  0.7480 0.2641 0.0000   0.4742 0.1613 0.0000
121_3  0.5091 0.3394 0.0000  0.5129 0.2657 0.0000  0.5793 0.3453 0.0529   0.2702 0.1358 0.0028
121_4  0.8647 0.1353 0.0000  0.7214 0.1586 0.0000  0.7790 0.2013 0.0000   0.4821 0.0572 0.0000
121_5  0.5701 0.0000 0.0000  0.4935 0.0000 0.0000  0.4432 0.0304 0.0000   0.1429 0.0003 0.0000
121_6  0.8950 0.5250 0.0000  0.7639 0.5377 0.0000  0.8570 0.6700 0.0000   0.4721 0.2160 0.0000
121_7  0.8520 0.4693 0.0000  0.7996 0.3937 0.0000  0.8975 0.4303 0.0000   0.7437 0.1942 0.0000
121_8  0.4791 0.2015 0.0000  0.4779 0.2533 0.0000  0.5056 0.2975 0.0000   0.2605 0.1468 0.0000
124_1  0.6173 0.3087 0.1173  0.5118 0.3274 0.1578  0.6614 0.3621 0.0656   0.3970 0.2203 0.0357
124_2  0.8827 0.1480 0.0000  0.8787 0.2456 0.0000  0.8159 0.4153 0.1234   0.6256 0.2489 0.0466
124_3  1.0000 0.5885 0.1564  0.8721 0.6229 0.1131  0.5798 0.1576 0.0136   0.2984 0.0932 0.0060
124_4  0.5680 0.1564 0.0000  0.5516 0.1131 0.0000  0.5412 0.2481 0.0368   0.3222 0.1358 0.0029
124_5  0.3394 0.0000 0.0000  0.2453 0.0000 0.0000  0.3363 0.0224 0.0000   0.1403 0.0019 0.0000
124_6  0.7193 0.3240 0.0000  0.6950 0.3400 0.0000  0.6627 0.3827 0.0043   0.4867 0.2178 0.0003
124_7  0.8087 0.4693 0.0000  0.6828 0.4122 0.1058  0.6906 0.3486 0.1017   0.4384 0.1376 0.0303
124_8  0.6760 0.2221 0.0000  0.5907 0.3319 0.0000  0.6081 0.3610 0.0280   0.3598 0.1478 0.0140
124_9  0.7654 0.3240 0.1173  0.6844 0.3765 0.0848  0.6534 0.1899 0.0984   0.3724 0.0495 0.0228
124_10 0.8673 0.6020 0.0740  0.7618 0.6228 0.1605  0.7965 0.5522 0.1328   0.6069 0.2640 0.0570
124_11 0.7449 0.3743 0.0000  0.6449 0.3708 0.0000  0.7759 0.2183 0.0432   0.5538 0.1311 0.0057
125_1  1.0000 1.0000 0.0000  1.0000 1.0000 0.0000  0.9196 0.6433 0.0000   0.7193 0.3194 0.0000
125_2  0.9147 0.1707 0.0000  0.9359 0.1282 0.0000  0.8724 0.1327 0.0000   0.8595 0.0781 0.0000
125_3  1.0000 0.0000 0.0000  1.0000 0.1028 0.0000  0.9090 0.0870 0.0000   0.6840 0.0250 0.0000
125_4  0.4693 0.1173 0.0000  0.4037 0.2151 0.0000  0.4195 0.1790 0.0000   0.2161 0.0588 0.0000
125_5  0.9324 0.5942 0.0000  0.9492 0.5477 0.0000  0.8095 0.6545 0.0478   0.7251 0.3877 0.0059
125_6  0.6388 0.0000 0.0000  0.5615 0.0000 0.0000  0.7117 0.3626 0.0000   0.3507 0.1468 0.0000
127_1  1.0000 1.0000 0.3333  1.0000 0.9563 0.5182  0.8493 0.7026 0.4111   0.5945 0.4633 0.2038
127_2  0.7449 0.3911 0.1769  0.7860 0.3313 0.1427  0.7990 0.4841 0.1895   0.5068 0.2583 0.1031
127_3  0.8673 0.4846 0.0000  0.7364 0.5531 0.0000  0.7503 0.4022 0.0000   0.4986 0.1271 0.0000
127_4  0.6913 0.0000 0.0000  0.5653 0.0000 0.0000  0.3859 0.1963 0.0000   0.1437 0.0129 0.0000
127_5  0.9218 0.3129 0.0000  0.7985 0.2364 0.0000  0.8070 0.3252 0.0000   0.5635 0.1224 0.0000
127_6  0.8591 0.7344 0.1246  0.8140 0.7335 0.0955  0.8234 0.6535 0.0429   0.6558 0.3556 0.0116
127_7  1.0000 0.9218 0.1564  1.0000 0.8461 0.1131  0.8552 0.4782 0.0405   0.5925 0.2260 0.0245
127_8  0.7018 0.4065 0.2656  0.6566 0.3894 0.2386  0.7437 0.5471 0.0933   0.5433 0.2984 0.0292
127_9  0.1869 0.0786 0.0000  0.1487 0.0625 0.0000  0.2037 0.0595 0.0000   0.0895 0.0370 0.0000
128_1  0.5587 0.4693 0.0740  0.5947 0.4830 0.0931  0.6515 0.3948 0.0258   0.4093 0.2414 0.0141
128_2  0.8827 0.5000 0.0000  0.9152 0.3614 0.0000  0.7596 0.3483 0.0000   0.4429 0.1848 0.0000
128_3  0.7118 0.0676 0.0000  0.6523 0.1179 0.0000  0.7173 0.2018 0.0000   0.4075 0.0461 0.0000
129_1  0.7654 0.5307 0.0587  0.7648 0.6164 0.0424  0.6181 0.4384 0.1832   0.3105 0.1966 0.0608
129_2  1.0000 0.8520 0.4693  0.8728 0.7835 0.4704  0.8174 0.6420 0.2214   0.5329 0.3466 0.0748
129_3  1.0000 0.3827 0.0000  0.9344 0.5402 0.0000  0.7304 0.3263 0.1183   0.3843 0.1702 0.0254
129_4  1.0000 0.4567 0.0000  1.0000 0.4613 0.0000  0.8459 0.3937 0.0218   0.5839 0.1558 0.0018
129_5  1.0000 1.0000 0.7039  1.0000 1.0000 0.7860  0.9037 0.7357 0.2258   0.6778 0.5652 0.0998
129_6  0.2346 0.0000 0.0000  0.1696 0.0000 0.0000  0.2637 0.0456 0.0000   0.0732 0.0092 0.0000
129_7  0.7654 0.0000 0.0000  0.6187 0.0000 0.0000  0.8321 0.1431 0.0000   0.5672 0.0213 0.0000
129_8  0.5307 0.0000 0.0000  0.3836 0.0000 0.0000  0.4802 0.0511 0.0158   0.1604 0.0138 0.0004
131_1  0.7346 0.4567 0.0000  0.6987 0.4495 0.0000  0.7719 0.5168 0.0000   0.4614 0.2680 0.0000
131_2  0.7967 0.4525 0.0000  0.7335 0.4507 0.0411  0.6837 0.3826 0.2869   0.4789 0.2538 0.0846
131_3  0.5000 0.3801 0.0000  0.5271 0.3803 0.2371  0.7369 0.5860 0.4556   0.5526 0.3551 0.2265
131_4  0.7232 0.7232 0.1697  0.7833 0.7261 0.1842  0.8674 0.6937 0.3780   0.7838 0.5898 0.1790
131_5  0.5950 0.5000 0.0000  0.6160 0.4540 0.0000  0.7030 0.4583 0.1693   0.4549 0.2128 0.0276
131_6  0.2961 0.1480 0.0000  0.2382 0.1461 0.0000  0.5727 0.2844 0.0349   0.2883 0.1061 0.0026
131_7  0.4985 0.2493 0.0000  0.5245 0.1982 0.0383  0.7462 0.4244 0.1314   0.5869 0.1904 0.0461
131_8  0.7346 0.5866 0.0000  0.6464 0.5113 0.1404  0.6750 0.3958 0.2524   0.2928 0.1856 0.0553
131_9  0.4235 0.1530 0.0000  0.4403 0.1979 0.0000  0.4388 0.1837 0.0000   0.2133 0.1029 0.0000
131_10 0.9377 0.4362 0.0000  0.8373 0.4818 0.0000  0.8359 0.4077 0.0368   0.5951 0.1464 0.0144
