Statistics computed over 13 Manual runs.

             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
112_6  0.8673 0.6606 0.0000  0.8185 0.6625 0.0000  0.7956 0.6746 0.0771   0.6145 0.4810 0.0044
112_7  0.6913 0.4106 0.0000  0.7694 0.4540 0.0000  0.7787 0.6598 0.0000   0.5217 0.3775 0.0000
112_9  0.8436 0.4693 0.0000  0.7666 0.4438 0.1182  0.8178 0.4440 0.1856   0.6854 0.3531 0.0399
113_1  0.7933 0.4721 0.0587  0.6099 0.4292 0.1711  0.6235 0.4799 0.2530   0.3861 0.3599 0.0805
113_2  0.2961 0.0000 0.0000  0.3452 0.1096 0.0000  0.6040 0.4150 0.1360   0.3194 0.1428 0.0221
113_3  0.7654 0.3827 0.0000  0.6844 0.4078 0.0000  0.5923 0.4674 0.0380   0.2439 0.1352 0.0177
113_4  0.8087 0.1760 0.0000  0.6828 0.2544 0.0000  0.6122 0.4115 0.0000   0.3490 0.1412 0.0000
113_5  1.0000 0.7039 0.1173  1.0000 0.6844 0.0848  0.8583 0.8048 0.1777   0.6599 0.5321 0.1248
113_6  1.0000 0.8827 0.0000  1.0000 0.8304 0.1677  0.8522 0.7532 0.1703   0.5343 0.4450 0.0430
113_7  1.0000 0.5307 0.0000  1.0000 0.6608 0.0984  0.8276 0.6975 0.1747   0.4913 0.3710 0.0331
113_8  0.4693 0.1480 0.0000  0.3392 0.1696 0.0848  0.5297 0.3974 0.1842   0.2600 0.1512 0.0374
115_1  0.5307 0.1913 0.0587  0.5839 0.3305 0.0808  0.7508 0.5568 0.1616   0.5593 0.3833 0.0717
115_2  1.0000 0.8323 0.5665  0.9714 0.7816 0.6439  0.9247 0.8220 0.4497   0.7239 0.4952 0.1233
115_3  0.6480 0.5307 0.2346  0.7133 0.5976 0.1969  0.6924 0.5742 0.1908   0.4342 0.2683 0.0925
115_4  0.8348 0.7398 0.5000  0.8355 0.6795 0.4328  0.8160 0.7499 0.3562   0.5373 0.4477 0.1248
115_5  0.8348 0.4050 0.3100  0.8115 0.4275 0.2926  0.7192 0.5587 0.3352   0.4812 0.3389 0.1244
115_6  0.8827 0.3827 0.0000  0.9016 0.4598 0.0984  0.8801 0.5911 0.2524   0.7849 0.4088 0.0301
115_7  0.8827 0.7654 0.0000  0.7840 0.6187 0.1312  0.8248 0.7257 0.2459   0.6012 0.3886 0.0518
115_8  0.7602 0.3100 0.0000  0.6985 0.4200 0.0561  0.7216 0.5535 0.1072   0.5303 0.3132 0.0295
115_9  0.9501 0.6795 0.2705  0.9495 0.7558 0.2914  0.8055 0.6735 0.2644   0.4426 0.2865 0.0664
115_10 0.2814 0.1597 0.0000  0.2861 0.1332 0.0000  0.4522 0.1708 0.0135   0.2684 0.1171 0.0004
115_11 0.7796 0.7796 0.0000  0.7192 0.7192 0.0000  0.7792 0.7421 0.0000   0.3214 0.2522 0.0000
116_1  0.6667 0.5885 0.0000  0.7291 0.6382 0.0000  0.8126 0.6074 0.0000   0.7108 0.5299 0.0000
116_2  1.0000 0.6388 0.0000  0.9392 0.6259 0.0000  0.8635 0.6028 0.0000   0.4588 0.1814 0.0000
116_3  0.8801 0.6652 0.1199  0.7617 0.5973 0.1038  0.7932 0.6290 0.3209   0.4411 0.2216 0.0752
116_4  0.7654 0.0000 0.0000  0.5531 0.0730 0.0000  0.5358 0.2958 0.0000   0.1956 0.0886 0.0000
116_5  0.5209 0.2015 0.0000  0.5209 0.2015 0.0000  0.6366 0.3232 0.2382   0.6889 0.2341 0.0496
116_6  0.7039 0.2961 0.0000  0.7860 0.3392 0.0000  0.9093 0.6502 0.0000   0.8121 0.4209 0.0000
116_7  0.4693 0.0000 0.0000  0.4122 0.1070 0.0000  0.4643 0.4041 0.1999   0.2366 0.1518 0.0641
116_8  0.8436 0.4693 0.0000  0.6568 0.3957 0.0000  0.6505 0.3858 0.0438   0.3239 0.1501 0.0187
117_1  1.0000 0.4909 0.0000  1.0000 0.3843 0.0000  0.9529 0.5436 0.0000   0.8190 0.2214 0.0000
117_2  0.6806 0.3194 0.0000  0.5397 0.2533 0.0000  0.7393 0.4890 0.0000   0.6383 0.1841 0.0000
117_3  0.8827 0.5866 0.0000  0.8231 0.4537 0.0000  0.8279 0.4866 0.0380   0.5901 0.1515 0.0007
117_4  0.9152 0.7455 0.0000  0.9475 0.7972 0.0000  0.9448 0.9020 0.0551   0.9281 0.7487 0.0165
117_5  0.7010 0.3616 0.0000  0.7374 0.3921 0.0000  0.7992 0.6670 0.0000   0.8645 0.5294 0.0000
117_6  0.9652 0.5317 0.0000  0.8908 0.4939 0.0000  0.9251 0.6089 0.0000   0.9583 0.4175 0.0000
117_8  0.6300 0.0000 0.0000  0.5377 0.0000 0.0000  0.6560 0.2232 0.0000   0.2210 0.0313 0.0000
117_9  0.3898 0.0000 0.0000  0.4086 0.0000 0.0000  0.3509 0.1300 0.0109   0.0638 0.0147 0.0001
117_10 0.4335 0.2658 0.0000  0.5347 0.2184 0.0000  0.5885 0.3698 0.0000   0.2963 0.1394 0.0000
118_1  0.9013 0.7654 0.0000  0.8869 0.7817 0.0000  0.7032 0.5771 0.0000   0.3913 0.3084 0.0000
118_2  1.0000 0.7654 0.1564  0.9076 0.7817 0.1131  0.8919 0.8606 0.0474   0.7140 0.6519 0.0303
118_3  0.7500 0.6327 0.1480  0.7793 0.6199 0.2200  0.8142 0.7797 0.2008   0.6515 0.5952 0.1219
118_4  0.8827 0.7654 0.0000  0.7691 0.5531 0.0000  0.7576 0.6672 0.0000   0.4802 0.2713 0.0000
118_5  0.2961 0.0000 0.0000  0.2140 0.1461 0.0000  0.2713 0.2112 0.1217   0.0644 0.0382 0.0113
118_6  1.0000 1.0000 0.0987  1.0000 0.9563 0.0713  0.8172 0.5806 0.0357   0.4642 0.2972 0.0227
118_7  1.0000 1.0000 0.0000  1.0000 1.0000 0.1461  0.8057 0.6502 0.0433   0.5048 0.3551 0.0156
118_8  1.0000 0.8436 0.1974  1.0000 0.8849 0.1427  0.8963 0.6349 0.0479   0.5970 0.3886 0.0113
119_1  0.6480 0.5000 0.2654  0.6070 0.4896 0.3392  0.7492 0.6722 0.1763   0.5933 0.4732 0.0435
119_2  0.8436 0.5102 0.0000  0.7443 0.4931 0.0000  0.7803 0.5968 0.0000   0.5715 0.3330 0.0000
119_3  0.8231 0.6462 0.0000  0.7797 0.6101 0.0000  0.8466 0.8243 0.0000   0.8050 0.7030 0.0000
119_4  0.8754 0.3605 0.0000  0.9004 0.3131 0.0955  0.8549 0.6030 0.1373   0.6121 0.3998 0.0610
119_5  0.2961 0.0000 0.0000  0.2870 0.0730 0.0000  0.4886 0.2228 0.0986   0.2444 0.0502 0.0409
119_6  0.7118 0.4235 0.0000  0.6427 0.4313 0.0000  0.8133 0.4615 0.0000   0.7431 0.2678 0.0000
119_7  0.9147 0.5089 0.0000  0.8878 0.5158 0.0911  0.8952 0.6269 0.1254   0.6388 0.4322 0.0508
119_8  0.8100 0.7149 0.0000  0.8550 0.7635 0.0000  0.8664 0.5478 0.0000   0.7588 0.3326 0.0000
121_1  0.6994 0.3354 0.0000  0.6686 0.3696 0.0000  0.7482 0.2500 0.0000   0.3841 0.0706 0.0000
121_2  0.9218 0.7654 0.2961  0.8304 0.7237 0.2358  0.8458 0.7030 0.3339   0.4810 0.3726 0.0442
121_3  0.8929 0.4465 0.0000  0.8648 0.5343 0.0000  0.8121 0.6394 0.0510   0.4489 0.3192 0.0083
121_4  0.9501 0.8293 0.1353  0.8699 0.7848 0.1513  0.8944 0.7797 0.2746   0.7520 0.4475 0.0654
