Statistics computed over 27 Canonical runs.
             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
107_7  1.0000 0.7654 0.0000  1.0000 0.7426 0.0000  0.8523 0.6938 0.4285   0.5864 0.3777 0.1498
107_8  1.0000 1.0000 0.0000  1.0000 0.8539 0.0000  0.9229 0.7648 0.1029   0.6907 0.4725 0.0135
108_1  0.8824 0.6618 0.3559  0.8609 0.7390 0.3440  0.8341 0.7266 0.1833   0.6319 0.4834 0.0573
108_2  0.7232 0.5535 0.0000  0.7892 0.5817 0.0000  0.7244 0.5504 0.0000   0.4775 0.2876 0.0000
108_3  0.6441 0.4412 0.0000  0.7213 0.4974 0.0000  0.6986 0.3789 0.0000   0.4443 0.1451 0.0000
108_4  1.0000 0.6441 0.1353  0.9055 0.6130 0.1016  0.6855 0.3652 0.0743   0.3307 0.1409 0.0137
108_5  0.8148 0.4235 0.0000  0.7386 0.4188 0.0000  0.7808 0.6305 0.0116   0.5982 0.3478 0.0014
108_6  0.7346 0.0000 0.0000  0.7773 0.1242 0.0000  0.6852 0.1571 0.0000   0.4035 0.0262 0.0000
108_7  0.6384 0.3394 0.0000  0.7169 0.3345 0.0000  0.7789 0.3511 0.0000   0.5546 0.1630 0.0000
108_8  1.0000 0.7654 0.0000  0.9152 0.7618 0.0000  0.8460 0.6480 0.0000   0.5902 0.4433 0.0000
110_1  1.0000 0.7654 0.0000  0.9672 0.7648 0.0328  0.8378 0.6656 0.2528   0.5460 0.3926 0.0446
110_2  0.7933 0.5894 0.0000  0.7293 0.5318 0.0000  0.8104 0.6952 0.2125   0.5815 0.4096 0.0394
110_3  0.6327 0.1327 0.0000  0.5594 0.2308 0.0000  0.7559 0.3243 0.0104   0.7039 0.1975 0.0001
110_4  1.0000 0.2067 0.0000  0.9635 0.2404 0.0000  0.8939 0.2921 0.0349   0.5539 0.1380 0.0128
110_5  1.0000 0.0000 0.0000  0.8942 0.0656 0.0000  0.9011 0.3379 0.0000   0.6274 0.0972 0.0000
110_6  0.9324 0.0000 0.0000  0.8622 0.0000 0.0000  0.8771 0.1105 0.0000   0.7544 0.0100 0.0000
110_7  0.7933 0.0000 0.0000  0.6945 0.0000 0.0000  0.6149 0.0578 0.0000   0.2863 0.0016 0.0000
110_8  0.7067 0.2346 0.0000  0.6273 0.2180 0.0000  0.7111 0.2533 0.0000   0.4049 0.0626 0.0000
110_9  0.5102 0.0000 0.0000  0.4319 0.0915 0.0000  0.7123 0.1903 0.0000   0.4950 0.0475 0.0000
111_1  0.8647 0.7971 0.0000  0.8984 0.8039 0.0000  0.7898 0.5057 0.0000   0.4530 0.2796 0.0000
111_2  0.7654 0.0000 0.0000  0.8132 0.0000 0.0000  0.8884 0.0818 0.0000   0.8008 0.0108 0.0000
111_3  0.5000 0.2346 0.0000  0.5805 0.2227 0.0000  0.6095 0.3614 0.0000   0.3155 0.2121 0.0000
111_4  1.0000 0.0000 0.0000  1.0000 0.0000 0.0000  0.8741 0.2054 0.0000   0.5698 0.0151 0.0000
111_5  0.6806 0.1597 0.0000  0.5397 0.2065 0.0000  0.6561 0.2993 0.0406   0.3816 0.1190 0.0047
111_6  0.9299 0.8100 0.0000  0.9275 0.7719 0.0000  0.8849 0.5921 0.0000   0.8204 0.4000 0.0000
111_7  0.7654 0.0000 0.0000  0.6844 0.0000 0.0000  0.7292 0.0000 0.0000   0.5242 0.0000 0.0000
111_8  1.0000 0.7654 0.0000  1.0000 0.7648 0.0000  0.9080 0.5889 0.0000   0.7606 0.3210 0.0000
111_9  0.9013 0.6667 0.0000  0.8362 0.6667 0.0000  0.7696 0.5835 0.0000   0.4612 0.2897 0.0000
112_1  0.6480 0.4260 0.0000  0.6043 0.5000 0.0328  0.8052 0.6226 0.0134   0.7042 0.4960 0.0043
112_2  0.8087 0.4106 0.0000  0.7417 0.3894 0.0000  0.8810 0.3856 0.0000   0.9101 0.3077 0.0000
112_3  0.7859 0.3838 0.0000  0.7833 0.3848 0.0000  0.8094 0.5857 0.1258   0.6492 0.3685 0.0084
112_4  1.0000 0.4260 0.0000  1.0000 0.4867 0.0984  0.8701 0.6127 0.2991   0.5652 0.3472 0.1409
112_5  0.7118 0.3736 0.0853  0.6130 0.3565 0.1016  0.7891 0.4409 0.1399   0.5561 0.1845 0.0444
112_6  0.7500 0.4846 0.0000  0.7682 0.5499 0.0000  0.8158 0.5422 0.1280   0.6334 0.4377 0.0104
112_7  0.2500 0.0000 0.0000  0.1868 0.0000 0.0000  0.1153 0.0167 0.0000   0.1429 0.0012 0.0000
112_9  0.5475 0.0000 0.0000  0.4673 0.0000 0.0000  0.5785 0.0243 0.0000   0.4072 0.0004 0.0000
113_1  0.6480 0.4260 0.1760  0.6243 0.4164 0.2256  0.6236 0.4799 0.1850   0.4340 0.3435 0.0410
113_2  0.4693 0.0000 0.0000  0.4048 0.1312 0.0000  0.6356 0.5155 0.0500   0.3990 0.2340 0.0090
113_3  0.7654 0.1760 0.0000  0.6992 0.2120 0.0000  0.7870 0.2996 0.0250   0.4978 0.0687 0.0020
113_4  0.6173 0.0000 0.0000  0.4790 0.0424 0.0000  0.5849 0.1105 0.0000   0.2336 0.0174 0.0000
113_5  1.0000 0.0000 0.0000  0.8728 0.0000 0.0000  0.8554 0.1304 0.0000   0.6191 0.0102 0.0000
113_6  1.0000 0.2961 0.0000  1.0000 0.3235 0.0000  0.7234 0.2558 0.0000   0.4207 0.0616 0.0000
113_7  0.8827 0.0000 0.0000  0.9152 0.1213 0.0000  0.6875 0.2474 0.0000   0.3500 0.0561 0.0000
113_8  1.0000 0.2961 0.0000  0.8930 0.2309 0.0000  0.4952 0.3597 0.0159   0.2142 0.0909 0.0001
115_1  0.7654 0.3827 0.0000  0.7041 0.3563 0.0000  0.8393 0.6169 0.0000   0.6553 0.4053 0.0000
115_2  0.8671 0.1677 0.0000  0.8622 0.2756 0.0000  0.8875 0.4791 0.3696   0.6595 0.1981 0.0668
115_3  0.7654 0.5307 0.0000  0.8031 0.5437 0.0000  0.7717 0.5242 0.0410   0.6226 0.3009 0.0008
115_4  0.8348 0.3801 0.0000  0.7934 0.3290 0.0000  0.7810 0.3798 0.0000   0.6650 0.1282 0.0000
115_5  0.7851 0.3100 0.0000  0.7175 0.3985 0.0000  0.6397 0.4122 0.0000   0.3294 0.2114 0.0000
115_6  0.6480 0.0000 0.0000  0.6285 0.0000 0.0000  0.6626 0.1486 0.0000   0.5340 0.0211 0.0000
115_7  1.0000 0.1480 0.0000  0.7883 0.1461 0.0000  0.8149 0.1903 0.0000   0.5361 0.0417 0.0000
115_8  0.6900 0.1199 0.0000  0.5889 0.1450 0.0000  0.6983 0.4215 0.1159   0.3339 0.1384 0.0109
115_9  1.0000 0.3736 0.0000  0.9369 0.4297 0.0000  0.8505 0.4353 0.0000   0.5585 0.1778 0.0000
115_10 0.3194 0.0798 0.0000  0.2663 0.0666 0.0000  0.2679 0.1272 0.0362   0.1389 0.0478 0.0016
115_11 0.8770 0.7796 0.0000  0.8091 0.7192 0.0000  0.8365 0.7192 0.0000   0.4246 0.2500 0.0000
116_1  0.7449 0.6667 0.0000  0.7968 0.6809 0.0000  0.8724 0.6049 0.0000   0.8148 0.4981 0.0000
116_2  1.0000 0.6388 0.0000  0.8845 0.5650 0.0000  0.8102 0.4838 0.0000   0.3680 0.1013 0.0000
116_3  0.7851 0.5701 0.0000  0.8068 0.5571 0.0000  0.7767 0.6372 0.1006   0.3907 0.2386 0.0035
116_4  0.8520 0.2346 0.0000  0.7618 0.1918 0.0000  0.6076 0.3054 0.0000   0.3137 0.0979 0.0000
116_5  0.4791 0.2015 0.0000  0.4791 0.2015 0.0000  0.6036 0.3020 0.0000   0.5850 0.1667 0.0000
116_6  1.0000 0.4693 0.0000  1.0000 0.3452 0.0000  0.9647 0.6967 0.0827   0.8867 0.4538 0.0159
116_7  0.8827 0.0000 0.0000  0.7110 0.0848 0.0000  0.7427 0.2977 0.0560   0.4776 0.0985 0.0054
116_8  0.7449 0.2756 0.0000  0.5982 0.2867 0.0487  0.6310 0.3770 0.0454   0.3256 0.1612 0.0238
117_1  1.0000 0.8081 0.0000  1.0000 0.6326 0.0000  0.9525 0.7795 0.0000   0.8183 0.5249 0.0000
117_2  0.8403 0.0000 0.0000  0.6663 0.1266 0.0000  0.6939 0.4584 0.0000   0.4420 0.2061 0.0000
117_3  0.8827 0.4693 0.0000  0.6827 0.3630 0.0000  0.8786 0.3292 0.0000   0.6332 0.0920 0.0000
117_4  0.6606 0.0000 0.0000  0.5451 0.0000 0.0000  0.7192 0.1920 0.0000   0.7081 0.0231 0.0000
117_5  0.7010 0.3616 0.0000  0.7951 0.5242 0.0000  0.8347 0.6639 0.0000   0.9652 0.6396 0.0000
117_6  0.7342 0.0000 0.0000  0.7435 0.0000 0.0000  0.8333 0.1236 0.0000   0.8774 0.0086 0.0000
117_8  0.8950 0.6300 0.0000  0.8332 0.5377 0.0000  0.8646 0.5377 0.0000   0.5357 0.2000 0.0000
117_9  0.4153 0.2923 0.0000  0.4957 0.2742 0.0000  0.5768 0.3799 0.0279   0.3843 0.2081 0.0013
117_10 0.3354 0.0000 0.0000  0.3696 0.0000 0.0000  0.5094 0.1572 0.0000   0.1726 0.0270 0.0000
118_1  0.9218 0.6667 0.0000  0.8362 0.7084 0.0487  0.6605 0.3504 0.0334   0.3329 0.1227 0.0164
118_2  1.0000 0.8436 0.0000  1.0000 0.8721 0.0000  0.9273 0.8707 0.3698   0.7262 0.6139 0.0698
118_3  0.7500 0.6173 0.0000  0.7163 0.5886 0.1395  0.8133 0.7595 0.2990   0.6564 0.5873 0.0863
118_4  1.0000 0.1173 0.0000  0.8614 0.0848 0.0000  0.9020 0.1284 0.0192   0.7133 0.0327 0.0012
118_5  0.2961 0.0000 0.0000  0.3008 0.0000 0.0000  0.4071 0.3410 0.0000   0.1599 0.1148 0.0000
118_6  0.9218 0.0000 0.0000  0.8123 0.0000 0.0000  0.6212 0.0128 0.0000   0.3272 0.0003 0.0000
118_7  1.0000 1.0000 0.0000  1.0000 0.9563 0.0000  0.8193 0.5319 0.0000   0.5201 0.2937 0.0000
118_8  1.0000 0.6667 0.0000  1.0000 0.6956 0.0000  0.9000 0.4383 0.0828   0.6023 0.2740 0.0061
119_1  0.6480 0.2346 0.0000  0.6070 0.2426 0.0000  0.7383 0.4672 0.0204   0.6411 0.2619 0.0015
119_2  0.9013 0.1564 0.0000  0.9287 0.2005 0.0000  0.8264 0.3278 0.0400   0.6362 0.0631 0.0003
119_3  0.7449 0.4693 0.0000  0.6878 0.4823 0.0000  0.8063 0.5936 0.0000   0.6403 0.4605 0.0000
119_4  0.7967 0.1246 0.0000  0.7621 0.1299 0.0000  0.8175 0.5135 0.0000   0.6163 0.2997 0.0000
119_5  0.7654 0.0000 0.0000  0.5531 0.0000 0.0000  0.6301 0.2810 0.0000   0.4098 0.0665 0.0000
119_6  0.7472 0.5765 0.0000  0.7747 0.6235 0.0000  0.8508 0.7466 0.0000   0.7797 0.5829 0.0000
119_7  0.7472 0.3736 0.0000  0.7978 0.4193 0.0000  0.8192 0.5661 0.0000   0.6884 0.4512 0.0000
119_8  0.8100 0.6900 0.0000  0.8550 0.6720 0.0000  0.8697 0.6273 0.0000   0.7167 0.4450 0.0000
121_1  0.6994 0.5317 0.0000  0.6686 0.4367 0.0000  0.7622 0.3914 0.0000   0.4541 0.1787 0.0000
121_2  0.9013 0.6257 0.0000  0.7892 0.6577 0.0000  0.8392 0.6984 0.0000   0.5358 0.3761 0.0000
121_3  0.6788 0.2545 0.0000  0.6972 0.2657 0.0000  0.7070 0.4179 0.0000   0.4578 0.1368 0.0000
121_4  0.9501 0.5411 0.0000  0.8290 0.5093 0.0000  0.8443 0.6241 0.0000   0.5492 0.2715 0.0000
121_5  0.8801 0.0000 0.0000  0.9671 0.0000 0.0000  0.9500 0.0000 0.0000   0.8806 0.0000 0.0000
121_6  1.0000 0.6300 0.0000  0.8535 0.5377 0.0000  0.8900 0.7066 0.0000   0.5942 0.2887 0.0000
121_7  0.8520 0.2961 0.0000  0.8844 0.3332 0.0000  0.8901 0.3423 0.0000   0.7601 0.1250 0.0000
121_8  0.6806 0.0000 0.0000  0.6488 0.1091 0.0000  0.7813 0.1660 0.0000   0.6625 0.0335 0.0000
124_1  0.8240 0.3673 0.0000  0.7342 0.4152 0.1383  0.7819 0.5747 0.0656   0.5226 0.3580 0.0357
124_2  0.8827 0.6173 0.0000  0.8787 0.5693 0.0730  0.8751 0.7485 0.1234   0.6777 0.4808 0.0496
124_3  1.0000 0.9013 0.0000  1.0000 0.8800 0.0000  0.7149 0.4999 0.0000   0.3794 0.1820 0.0000
124_4  0.5475 0.0782 0.0000  0.5269 0.0713 0.0000  0.5196 0.3212 0.0000   0.3781 0.1358 0.0000
124_5  0.7654 0.0587 0.0000  0.7436 0.0789 0.0000  0.6788 0.2872 0.0000   0.3321 0.1043 0.0000
124_6  0.8673 0.5740 0.2500  0.7574 0.5096 0.2559  0.6943 0.5912 0.2478   0.5217 0.4030 0.1670
124_7  0.8240 0.5000 0.0000  0.7113 0.4455 0.0000  0.7260 0.4947 0.0928   0.4729 0.2729 0.0083
124_8  0.8087 0.3520 0.0000  0.8252 0.3893 0.0000  0.7109 0.4883 0.1101   0.3968 0.2449 0.0308
124_9  0.8240 0.3394 0.0000  0.7754 0.3392 0.0000  0.8037 0.2329 0.0822   0.5665 0.0399 0.0049
124_10 0.8240 0.6913 0.4413  0.7769 0.6309 0.3831  0.8129 0.6770 0.2122   0.6005 0.4726 0.1098
124_11 0.8436 0.5680 0.0000  0.8869 0.5119 0.0000  0.8606 0.6677 0.0788   0.6175 0.3113 0.0060
125_1  1.0000 1.0000 0.0000  1.0000 1.0000 0.0000  0.9264 0.7641 0.0000   0.7457 0.5271 0.0000
125_2  0.8148 0.5266 0.0000  0.8406 0.4867 0.0000  0.8652 0.7542 0.0735   0.8762 0.5776 0.0046
125_3  1.0000 0.5758 0.0000  0.8972 0.5651 0.0000  0.8400 0.6160 0.0000   0.6468 0.3028 0.0000
125_4  0.5433 0.4693 0.0000  0.5709 0.3644 0.0000  0.5564 0.3913 0.0790   0.3759 0.1249 0.0140
125_5  0.9324 0.3736 0.0000  0.8224 0.4859 0.0000  0.8412 0.7222 0.0000   0.7820 0.4650 0.0000
125_6  0.7985 0.3194 0.0000  0.7019 0.3543 0.0000  0.7576 0.4831 0.0000   0.5744 0.2366 0.0000
127_1  1.0000 0.8436 0.2756  1.0000 0.8869 0.1992  0.8638 0.8262 0.4111   0.6279 0.5269 0.1604
127_2  0.7039 0.3129 0.0000  0.7860 0.3771 0.0000  0.8213 0.6072 0.0000   0.5860 0.3870 0.0000
127_3  1.0000 0.5894 0.0000  0.9307 0.5087 0.0328  0.9132 0.5188 0.1239   0.7073 0.2691 0.0330
127_4  0.8673 0.0000 0.0000  0.8311 0.0000 0.0000  0.8750 0.0520 0.0000   0.6757 0.0026 0.0000
127_5  1.0000 0.7654 0.0000  0.8473 0.6803 0.0000  0.8942 0.7237 0.0000   0.7119 0.4434 0.0000
127_6  0.9214 0.8131 0.0000  0.9398 0.7489 0.0000  0.8817 0.7679 0.0098   0.6769 0.5075 0.0023
127_7  1.0000 1.0000 0.0000  1.0000 1.0000 0.0000  0.9063 0.7549 0.0000   0.6481 0.5055 0.0000
127_8  0.7181 0.4065 0.1246  0.7430 0.4197 0.0955  0.8421 0.4972 0.0969   0.6803 0.2865 0.0428
127_9  0.2493 0.0623 0.0000  0.2409 0.0625 0.0000  0.3406 0.1693 0.0354   0.1314 0.0675 0.0083
128_1  0.6913 0.4413 0.0740  0.7278 0.4507 0.0931  0.6935 0.4733 0.0258   0.4815 0.3408 0.0141
128_2  1.0000 0.1760 0.0000  0.8824 0.1970 0.0000  0.7377 0.1852 0.0184   0.3397 0.0273 0.0002
128_3  0.9324 0.2029 0.0000  0.7394 0.2817 0.0786  0.6537 0.2959 0.1513   0.3545 0.0905 0.0289
129_1  0.7933 0.5866 0.0000  0.7648 0.6028 0.2408  0.7042 0.4984 0.3040   0.4121 0.2072 0.1162
129_2  1.0000 0.8240 0.2933  0.9344 0.8286 0.3585  0.8213 0.7487 0.2214   0.5329 0.4291 0.0748
129_3  0.8827 0.4693 0.0000  0.8304 0.4691 0.0000  0.6780 0.4530 0.1183   0.3775 0.1793 0.0206
129_4  1.0000 1.0000 0.0000  1.0000 0.8688 0.0000  0.8976 0.6633 0.2973   0.6452 0.4351 0.0761
129_5  1.0000 0.7654 0.0000  1.0000 0.8304 0.1312  0.9237 0.8024 0.0284   0.7138 0.5577 0.0035
129_6  0.7039 0.0000 0.0000  0.7860 0.1312 0.0000  0.7240 0.1150 0.0000   0.3924 0.0145 0.0000
129_7  0.7654 0.6760 0.0000  0.7574 0.5700 0.0000  0.8282 0.6269 0.0257   0.5583 0.3196 0.0069
129_8  0.7039 0.1173 0.0000  0.7860 0.0848 0.0000  0.7426 0.1578 0.0146   0.3723 0.0265 0.0006
131_1  0.9260 0.6173 0.0000  0.8735 0.6210 0.0000  0.7941 0.7007 0.0000   0.5856 0.4066 0.0000
131_2  0.7344 0.3902 0.2033  0.7966 0.4960 0.1557  0.7808 0.6651 0.3087   0.6076 0.4876 0.1670
131_3  0.7398 0.2398 0.0000  0.7328 0.3323 0.0000  0.8023 0.6129 0.3516   0.5815 0.3621 0.0612
131_4  0.8081 0.7232 0.0000  0.7833 0.7320 0.0514  0.8658 0.8155 0.3861   0.8820 0.6855 0.0931
131_5  0.7602 0.5249 0.0000  0.7546 0.4565 0.0000  0.7675 0.6507 0.3274   0.5311 0.3455 0.1058
131_6  0.7346 0.1173 0.0000  0.6770 0.1461 0.0000  0.8445 0.4077 0.2123   0.7066 0.2065 0.0268
131_7  0.5772 0.1246 0.0000  0.5357 0.1621 0.0000  0.7207 0.4397 0.0592   0.4574 0.2073 0.0189
131_8  0.7346 0.2654 0.0000  0.6464 0.2596 0.0000  0.7696 0.4147 0.0000   0.4674 0.1308 0.0000
131_9  0.6441 0.0000 0.0000  0.7328 0.0786 0.0000  0.4785 0.2251 0.0000   0.2427 0.0583 0.0000
131_10 0.9837 0.3279 0.0000  0.9095 0.3341 0.0000  0.8504 0.5799 0.0368   0.5565 0.3506 0.0144
