Statistics computed over 27 Canonical runs.
             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
----- ------ ------ ------  ------ ------ ------  ------- ------ ------  ------- ------ ------
106_1  1.0000 0.1173 0.0000  0.8651 0.1789 0.0000  0.7720 0.4782 0.1673   0.4344 0.1645 0.0280
106_2  0.9260 0.2346 0.0000  0.9137 0.2754 0.0000  0.7649 0.4392 0.1666   0.4532 0.1811 0.0343
106_3  0.8827 0.0000 0.0000  0.6379 0.0000 0.0000  0.6877 0.3708 0.0000   0.3011 0.1136 0.0000
106_4  0.7039 0.4693 0.0000  0.6071 0.3412 0.0000  0.7130 0.6135 0.0322   0.4437 0.2483 0.0003
106_5  0.6913 0.2221 0.0000  0.5508 0.2917 0.0000  0.7074 0.4812 0.0697   0.5248 0.1804 0.0159
106_6  0.8240 0.5433 0.0000  0.6374 0.4202 0.0000  0.7954 0.6717 0.1513   0.5816 0.4472 0.0142
106_7  1.0000 0.7346 0.0000  0.9344 0.6770 0.0000  0.8634 0.7539 0.0563   0.5981 0.5012 0.0128
106_8  0.5411 0.0000 0.0000  0.5242 0.0000 0.0000  0.5963 0.1701 0.0000   0.2196 0.0391 0.0000
106_10 0.6721 0.0786 0.0000  0.6625 0.0972 0.0000  0.6755 0.2662 0.0000   0.5717 0.1188 0.0000
107_1  1.0000 0.7039 0.0000  0.8930 0.7456 0.0000  0.8701 0.7171 0.1468   0.6933 0.4789 0.0304
107_2  1.0000 0.9413 0.2346  1.0000 0.9152 0.3644  0.9160 0.8461 0.3695   0.7376 0.5444 0.2127
107_3  0.8754 0.2819 0.0000  0.9045 0.3720 0.0000  0.7946 0.2264 0.0157   0.5988 0.1460 0.0003
107_4  0.9413 0.0000 0.0000  0.9248 0.0000 0.0000  0.7210 0.0327 0.0000   0.4791 0.0032 0.0000
107_5  0.8929 0.5091 0.0000  0.9162 0.3985 0.0000  0.9110 0.5769 0.0000   0.8263 0.2262 0.0000
107_6  0.9218 0.5102 0.0000  0.8900 0.5259 0.0000  0.8404 0.6023 0.0000   0.6545 0.3870 0.0000
