year	b	k1	recall_1000
2020.0	0.3	0.7	0.7716
2020.0	0.4	0.8	0.7701
2020.0	0.3	0.8	0.7697
2020.0	0.4	0.7	0.7697
2020.0	0.3	0.6	0.7695
2020.0	0.4	0.9	0.7693
2020.0	0.3	0.9	0.7687
2020.0	0.3	1.0	0.7684
2020.0	0.4	0.6	0.7683
2020.0	0.3	1.1	0.7672
2020.0	0.3	0.5	0.767
2020.0	0.5	0.6	0.7667
2020.0	0.5	0.9	0.7665
2020.0	0.4	1.0	0.7663
2020.0	0.5	0.7	0.7661
2020.0	0.4	0.5	0.7652
2020.0	0.5	0.8	0.7652
2020.0	0.3	1.2	0.7643
2020.0	0.4	1.1	0.7643
2020.0	0.5	0.5	0.7628
2020.0	0.3	1.3	0.7625
2020.0	0.6	0.6	0.7623
2020.0	0.4	1.2	0.7607
2020.0	0.6	0.5	0.7607
2020.0	0.5	1.0	0.7605
2020.0	0.6	0.7	0.7597
2020.0	0.3	1.4	0.759
2020.0	0.5	1.1	0.7575
2020.0	0.6	0.8	0.7572
2020.0	0.6	0.9	0.757
2020.0	0.4	1.3	0.7569
2020.0	0.3	1.5	0.7558
2020.0	0.7	0.5	0.755
2020.0	0.7	0.6	0.7541
2020.0	0.6	1.0	0.7525
2020.0	0.5	1.2	0.7523
2020.0	0.3	1.6	0.752
2020.0	0.4	1.4	0.7515
2020.0	0.7	0.7	0.7515
2020.0	0.4	1.5	0.7509
2020.0	0.5	1.3	0.7502
2020.0	0.8	0.5	0.75
2020.0	0.3	1.7	0.7495
2020.0	0.4	1.6	0.7477
2020.0	0.5	1.4	0.7473
2020.0	0.7	0.8	0.7472
2020.0	0.8	0.6	0.7472
2020.0	0.6	1.1	0.747
2020.0	0.3	1.8	0.7464
2020.0	0.4	1.7	0.7449
2020.0	0.5	1.5	0.7439
2020.0	0.7	0.9	0.7439
2020.0	0.6	1.2	0.742
2020.0	0.4	1.8	0.7407
2020.0	0.8	0.7	0.7398
2020.0	0.3	1.9	0.7397
2020.0	0.5	1.6	0.7375
2020.0	0.9	0.5	0.7372
2020.0	0.6	1.3	0.7371
2020.0	0.7	1.0	0.7369
2020.0	0.3	2.0	0.7366
2020.0	0.4	1.9	0.7364
2020.0	0.5	1.7	0.7348
2020.0	0.8	0.8	0.7346
2020.0	0.9	0.6	0.7346
2020.0	0.6	1.4	0.7328
2020.0	0.7	1.1	0.7318
2020.0	0.6	1.5	0.7306
2020.0	0.5	1.8	0.7301
2020.0	0.8	0.9	0.7297
2020.0	0.4	2.0	0.7289
2020.0	0.9	0.7	0.7278
2020.0	0.6	1.6	0.7272
2020.0	0.7	1.2	0.7259
2020.0	0.5	1.9	0.7258
2020.0	0.8	1.0	0.7233
2020.0	0.5	2.0	0.7223
2020.0	0.6	1.7	0.7221
2020.0	0.7	1.3	0.722
2020.0	0.9	0.8	0.7211
2020.0	0.8	1.1	0.7188
2020.0	0.6	1.8	0.7186
2020.0	0.7	1.4	0.7186
2020.0	0.6	1.9	0.7149
2020.0	0.7	1.5	0.7148
2020.0	0.9	0.9	0.7147
2020.0	0.8	1.2	0.7143
2020.0	0.7	1.6	0.713
2020.0	0.6	2.0	0.7111
2020.0	0.7	1.7	0.7097
2020.0	0.9	1.0	0.7097
2020.0	0.8	1.3	0.7096
2020.0	0.8	1.4	0.7048
2020.0	0.7	1.8	0.7042
2020.0	0.9	1.1	0.703
2020.0	0.7	1.9	0.6999
2020.0	0.8	1.5	0.6983
2020.0	0.9	1.2	0.6963
2020.0	0.7	2.0	0.695
2020.0	0.8	1.6	0.6931
2020.0	0.8	1.7	0.6875
2020.0	0.9	1.3	0.6873
2020.0	0.8	1.8	0.6819
2020.0	0.9	1.4	0.6817
2020.0	0.8	1.9	0.676
2020.0	0.9	1.5	0.675
2020.0	0.8	2.0	0.6727
2020.0	0.9	1.6	0.67
2020.0	0.9	1.7	0.6631
2020.0	0.9	1.8	0.6548
2020.0	0.9	1.9	0.6488
2020.0	0.9	2.0	0.6432
