year	b	k1	recall_1000
2019	0.3	0.9	0.7803
2019	0.4	1.2	0.7798
2019	0.4	0.9	0.7797
2019	0.3	1.3	0.7795
2019	0.3	1.0	0.7794
2019	0.3	1.1	0.7794
2019	0.4	1.1	0.7792
2019	0.3	1.2	0.7791
2019	0.4	0.8	0.7791
2019	0.3	0.8	0.7788
2019	0.3	1.4	0.7786
2019	0.3	0.7	0.7781
2019	0.4	1.0	0.7781
2019	0.4	1.3	0.778
2019	0.4	0.7	0.7774
2019	0.3	1.5	0.7773
2019	0.5	0.8	0.7765
2019	0.5	0.9	0.7764
2019	0.3	0.6	0.7762
2019	0.4	1.4	0.776
2019	0.5	0.7	0.7756
2019	0.5	1.0	0.7753
2019	0.3	1.6	0.7747
2019	0.4	0.6	0.7747
2019	0.4	1.5	0.7742
2019	0.5	0.6	0.7741
2019	0.5	1.1	0.7737
2019	0.5	1.2	0.7737
2019	0.4	1.6	0.7728
2019	0.3	0.5	0.7727
2019	0.5	1.3	0.7727
2019	0.3	1.7	0.7723
2019	0.4	0.5	0.772
2019	0.4	1.7	0.7713
2019	0.5	1.4	0.7711
2019	0.5	0.5	0.7699
2019	0.3	1.8	0.7697
2019	0.4	1.8	0.7694
2019	0.6	0.6	0.7687
2019	0.6	0.8	0.7684
2019	0.6	0.7	0.7681
2019	0.6	0.9	0.7678
2019	0.3	1.9	0.7676
2019	0.5	1.5	0.7673
2019	0.6	1.0	0.7669
2019	0.6	0.5	0.7667
2019	0.3	2.0	0.766
2019	0.6	1.1	0.766
2019	0.4	1.9	0.7659
2019	0.5	1.6	0.765
2019	0.5	1.7	0.7634
2019	0.4	2.0	0.7621
2019	0.6	1.2	0.7618
2019	0.6	1.3	0.7608
2019	0.7	0.6	0.7607
2019	0.5	1.8	0.7602
2019	0.7	0.5	0.76
2019	0.7	0.7	0.7597
2019	0.6	1.4	0.7594
2019	0.7	0.9	0.7581
2019	0.7	0.8	0.7577
2019	0.5	1.9	0.7573
2019	0.6	1.5	0.7571
2019	0.7	1.0	0.7565
2019	0.7	1.1	0.7538
2019	0.5	2.0	0.753
2019	0.6	1.6	0.7511
2019	0.8	0.5	0.7508
2019	0.7	1.2	0.7501
2019	0.6	1.7	0.7484
2019	0.8	0.6	0.7478
2019	0.8	0.7	0.7472
2019	0.6	1.8	0.7459
2019	0.7	1.3	0.745
2019	0.8	0.8	0.7447
2019	0.8	0.9	0.7433
2019	0.6	1.9	0.7421
2019	0.9	0.5	0.742
2019	0.7	1.4	0.7407
2019	0.8	1.0	0.7405
2019	0.9	0.6	0.7394
2019	0.6	2.0	0.7391
2019	0.7	1.5	0.7379
2019	0.9	0.7	0.7349
2019	0.7	1.6	0.7345
2019	0.8	1.1	0.7338
2019	0.9	0.8	0.7315
2019	0.7	1.7	0.7307
2019	0.8	1.2	0.7285
2019	0.7	1.8	0.7264
2019	0.8	1.3	0.7244
2019	0.9	0.9	0.7236
2019	0.8	1.4	0.723
2019	0.7	1.9	0.7226
2019	0.9	1.0	0.7199
2019	0.7	2.0	0.7197
2019	0.8	1.5	0.7153
2019	0.9	1.1	0.713
2019	0.8	1.6	0.7113
2019	0.8	1.7	0.7084
2019	0.9	1.2	0.7063
2019	0.8	1.8	0.705
2019	0.8	1.9	0.7019
2019	0.9	1.3	0.7016
2019	0.8	2.0	0.6991
2019	0.9	1.4	0.6954
2019	0.9	1.5	0.6906
2019	0.9	1.6	0.6841
2019	0.9	1.7	0.6783
2019	0.9	1.8	0.6738
2019	0.9	1.9	0.6684
2019	0.9	2.0	0.6635
